Date,PM10,SO2,CO,O3,Max,Critical Component,Category,Indeks,Baik/Buruk
1/1/2020,30,2,69,19,69,CO,Moderate,2,Baik
1/2/2020,16,2,58,33,58,CO,Moderate,2,Baik
1/3/2020,12,2,46,18,46,CO,Good,1,Baik
1/4/2020,8,2,84,29,84,CO,Moderate,2,Baik
1/5/2020,8,3,50,0,50,CO,Good,1,Baik
1/6/2020,12,2,97,18,97,CO,Moderate,2,Baik
1/7/2020,10,3,70,0,70,CO,Moderate,2,Baik
1/8/2020,11,4,87,0,87,CO,Moderate,2,Baik
1/9/2020,10,4,118,5,118,CO,Unhealthy,3,Buruk
1/10/2020,10,3,73,30,73,CO,Moderate,2,Baik
1/11/2020,7,2,43,16,43,CO,Good,1,Baik
1/12/2020,6,2,48,9,48,CO,Good,1,Baik
1/13/2020,11,2,29,8,29,CO,Good,1,Baik
1/14/2020,16,2,44,0,44,CO,Good,1,Baik
1/15/2020,17,2,55,25,55,CO,Moderate,2,Baik
1/16/2020,13,2,45,0,45,CO,Good,1,Baik
1/17/2020,13,2,61,0,61,CO,Moderate,2,Baik
1/18/2020,19,3,57,0,57,CO,Moderate,2,Baik
1/19/2020,16,2,43,0,43,CO,Good,1,Baik
1/20/2020,14,2,34,0,34,CO,Good,1,Baik
1/21/2020,21,2,48,11,48,CO,Good,1,Baik
1/22/2020,33,2,52,8,52,CO,Moderate,2,Baik
1/23/2020,22,2,90,14,90,CO,Moderate,2,Baik
1/24/2020,35,2,139,27,139,CO,Unhealthy,3,Buruk
1/25/2020,32,2,60,25,60,CO,Moderate,2,Baik
1/26/2020,19,2,32,27,32,CO,Good,1,Baik
1/27/2020,29,2,47,20,47,CO,Good,1,Baik
1/28/2020,28,2,107,27,107,CO,Unhealthy,3,Buruk
1/29/2020,25,2,68,30,68,CO,Moderate,2,Baik
1/30/2020,23,2,60,47,60,CO,Moderate,2,Baik
1/31/2020,17,1,33,24,33,CO,Good,1,Baik
2/1/2020,29,2,37,15,37,CO,Good,1,Baik
2/2/2020,32,2,58,26,58,CO,Moderate,2,Baik
2/3/2020,27,2,59,17,59,CO,Moderate,2,Baik
2/4/2020,17,2,54,15,54,CO,Moderate,2,Baik
2/5/2020,12,2,74,9,74,CO,Moderate,2,Baik
2/6/2020,22,3,60,20,60,CO,Moderate,2,Baik
2/7/2020,19,2,51,10,51,CO,Moderate,2,Baik
2/8/2020,27,1,44,52,52,O3,Moderate,2,Baik
2/9/2020,26,3,164,36,164,CO,Unhealthy,3,Buruk
2/10/2020,11,2,46,14,46,CO,Good,1,Baik
2/11/2020,10,3,58,18,58,CO,Moderate,2,Baik
2/12/2020,19,3,48,17,48,CO,Good,1,Baik
2/13/2020,33,3,58,17,58,CO,Moderate,2,Baik
2/14/2020,36,2,78,26,78,CO,Moderate,2,Baik
2/15/2020,22,2,81,30,81,CO,Moderate,2,Baik
2/16/2020,20,2,95,23,95,CO,Moderate,2,Baik
2/17/2020,11,3,39,11,39,CO,Good,1,Baik
2/18/2020,13,2,58,0,58,CO,Moderate,2,Baik
2/19/2020,17,2,40,14,40,CO,Good,1,Baik
2/20/2020,7,2,39,14,39,CO,Good,1,Baik
2/21/2020,20,3,72,12,72,CO,Moderate,2,Baik
2/22/2020,18,2,73,47,73,CO,Moderate,2,Baik
2/23/2020,26,2,84,21,84,CO,Moderate,2,Baik
2/24/2020,45,2,37,10,45,PM10,Good,1,Baik
2/25/2020,29,2,60,31,60,CO,Moderate,2,Baik
2/26/2020,15,2,16,0,16,CO,Good,1,Baik
2/27/2020,22,2,19,0,22,PM10,Good,1,Baik
2/28/2020,20,2,18,0,20,PM10,Good,1,Baik
2/29/2020,25,2,12,0,25,PM10,Good,1,Baik
3/1/2020,19,2,37,0,37,CO,Good,1,Baik
3/2/2020,23,2,9,0,23,PM10,Good,1,Baik
3/3/2020,28,3,63,0,63,CO,Moderate,2,Baik
3/4/2020,24,2,69,22,69,CO,Moderate,2,Baik
3/5/2020,3,2,19,0,19,CO,Good,1,Baik
3/6/2020,19,4,21,20,21,CO,Good,1,Baik
3/7/2020,10,2,44,10,44,CO,Good,1,Baik
3/8/2020,7,1,67,0,67,CO,Moderate,2,Baik
3/9/2020,10,2,56,11,56,CO,Moderate,2,Baik
3/10/2020,7,2,42,29,42,CO,Good,1,Baik
3/11/2020,26,2,21,36,36,O3,Good,1,Baik
3/12/2020,33,4,101,30,101,CO,Unhealthy,3,Buruk
3/13/2020,51,2,51,32,51,"PM10, CO",Moderate,2,Baik
3/14/2020,38,2,33,11,38,PM10,Good,1,Baik
3/15/2020,36,2,33,18,36,PM10,Good,1,Baik
